id;nome;descricao;status;data_criacao;data_inatividade
1;contextually-based vertical Fresco;dynamic end-to-end;INATIVO;2025-01-25T08:13:26;2025-01-24T21:57:38
2;Borders;compress Concreto Director;ATIVO;2025-01-25T12:30:09;2025-01-25T14:59:34
3;Travessa;functionalities;ATIVO;2025-01-25T03:09:04;2025-01-24T21:40:34
4;Gabão value-added copy;cross-platform;ATIVO;2025-01-25T04:26:13;2025-01-25T16:28:38
5;International Customer Casa;Checking Filmes;INATIVO;2025-01-24T19:35:00;2025-01-25T15:13:40
6;Rústico Savings;Card product;INATIVO;2025-01-24T20:35:34;2025-01-25T05:30:44
7;Program project Peixe;Compatible Account;ATIVO;2025-01-25T05:38:44;2025-01-25T05:58:31
8;Congelado;grow Música;ATIVO;2025-01-25T14:51:21;2025-01-25T08:36:01
9;Jóias Implementation;Comores Rua;ATIVO;2025-01-25T08:23:10;2025-01-25T14:01:12
10;redundant National;lilás;INATIVO;2025-01-25T11:14:32;2025-01-25T10:40:47
