id;nome;descricao;status;data_criacao;data_inatividade
1;Goiás Alameda Rodovia;microchip alarm Rústico;ATIVO;2025-01-24T19:46:40;2025-01-25T11:22:46
2;Chapéu Sapatos Operations;hack generate;INATIVO;2025-01-24T21:56:19;2025-01-25T02:52:28
3;Travessa;Open-source;INATIVO;2025-01-25T06:25:04;2025-01-24T19:09:55
4;Bahia;infrastructures;INATIVO;2025-01-25T10:14:47;2025-01-25T15:30:22
5;partnerships;payment Manat Investment;ATIVO;2025-01-25T03:20:50;2025-01-24T17:19:06
6;Eletrônicos auxiliary Príncipe;Aruban Engineer Investment;INATIVO;2025-01-25T03:53:52;2025-01-25T10:20:50
7;capacitor;Open-architected Personal;INATIVO;2025-01-25T09:11:39;2025-01-25T05:26:33
8;Denar virtual;Customizable Organic;ATIVO;2025-01-25T15:00:43;2025-01-24T20:19:07
9;multi-byte;sensor Incrível;INATIVO;2025-01-25T04:14:48;2025-01-25T16:32:11
10;Borders Azerbaijanian Denar;esmeralda;ATIVO;2025-01-24T17:08:16;2025-01-24T21:25:54
